id,raw_text,translation,expected_external_code,name_ru,name_az,source
С246,Arxa sağ tərəf stop. Həm dönmə işığı həm arxa (zadni) var ?,Правый задний фонарь,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
С247,benzin nasos,Бензонасос,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С248,Maşın alt qoruyucusu tam qoruyucu tək bufer altlığı yox,Полная защита днища,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено второй проверкой
С249,arxa balka rezinler,Резинки задней балки,AS-025,Сайлентблок задней балки,Balka silentbloku,подтверждено вручную
С250,Hyundai accent 2016 kuza arxa park radar varınızdı.,Задний парктроник Hyundai Accent 2016,AK-028,Парковочные датчики,Park datçikləri,подтверждено вручную
С252,Antifiriz radiatorunun probkasi lazimdir,Пробка радиатора антифриза,SO-038,Сливная пробка радиатора,Radiator probkası,подтверждено вручную
С253,Arxa şüşə qaldıran matoru,Мотор заднего стеклоподъёмника,EL-001,Мотор стеклоподъёмника,Şüşəqaldıran motoru,подтверждено вручную
С254,patpres,Лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С255,Çöl qranat,Наружный ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С256,Ön support lazımdır (işlənmiş üzərindən çıxma),"Передний суппорт, б/у",EY-003,Тормозной суппорт,Support (suport),подтверждено вручную
С257,Səsboğucu başlığı,Насадка глушителя,EG-009,Насадка глушителя,Səsboğucu ucluğu (müştük),подтверждено вручную
С258,Sonata 2022 aexa patpres,"Sonata 2022, заднее стекло",KZ-012,Заднее стекло,Arxa şüşə,подтверждено вручную
С259,Arxa sağ fara,Задний правый фонарь,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
С261,kondisaner kompressorun maqniti,Магнит компрессора кондиционера,SO-033,Муфта компрессора кондиционера,Kompressor muftası (maqnit),подтверждено вручную
С262,Sol tərəf granat karopkadan tekere qədər,"Левый ШРУС целиком, от коробки до колеса",AS-023,Приводной вал (полуось),Ötürücü val (yarımox),подтверждено вручную
С263,sep desti,Комплект цепи,MU-055,Цепь ГРМ,Zəncir (vaxtlama zənciri),подтверждено вручную
С264,Arxa bufer sağ dönmə işığı,Правый поворотник заднего бампера,KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С265,Sol nakanesnik,Левый наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С266,Radiatorun peri,Вентилятор радиатора,SO-002,Вентилятор радиатора (электровентилятор),Radiator ventilyatoru (elektroventilyator),подтверждено вручную
С267,arxa sol stopun şüşəsi,Стекло заднего левого фонаря,KZ-048,Стекло заднего фонаря,Stop şüşəsi,подтверждено вручную
С268,Benzin nasosu komplekt qiymət?,Бензонасос в сборе,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С269,"surucu teref amartizatorun ust rezini lazimdir, kapotu acanda amartizatorun basina kecen rezin",Верхняя резинка амортизатора со стороны водителя,AS-002,Опора амортизатора (верхняя),Amortizator dayaq yastığı (opora),подтверждено вручную
С270,arxa orjinal banan şüşə silən vae,Задний оригинальный стеклоочиститель «банан»,AK-010,Щётка стеклоочистителя,Şüşə silən (əl/pərdə),подтверждено вручную
С271,Sol qranat zbor. Diş 26/30,"Левый ШРУС в сборе, шлицы 26/30",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С272,Kompressor şkfi,Шкив компрессора,SO-033,Муфта компрессора кондиционера,Kompressor muftası (maqnit),подтверждено второй проверкой
С273,daxili iç qranat sağ tərəf,Правый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С274,Termostat korpusu zbor,Корпус термостата в сборе,SO-025,Корпус термостата,Termostat korpusu,подтверждено вручную
С276,Susə qaldıranların avtomatı 4lü podyomnik zbor olur,Блок из 4 кнопок стеклоподъёмников,EL-003,Кнопка/блок стеклоподъёмника,Şüşəqaldıran düyməsi/blok,подтверждено вручную
С277,Baqaj aynasının amazatoru sağ sol,Амортизаторы стекла багажника,KZ-042,Амортизатор/упор багажника,Baqaj amortizatoru,подтверждено вручную
С279,Hyundai tucson 2006 2 motor  benzin yagğnasosu,"Hyundai Tucson 2006 2.0, масляный насос",MU-027,Масляный насос,Yağ nasosu,подтверждено вручную
С280,Ön qranatlar,Передние ШРУСы,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С281,dinamonun shkifi,Шкив генератора,MU-021,Шкив,Şkif,подтверждено вручную
С282,Qabaq sol eyri qolun razvalnisi,Развальный сайлентблок переднего левого кривого рычага,AS-013,Втулка развала,Razvalni vtulka,подтверждено второй проверкой
С283,"Hyundai Avante AD 2019, 1.6 benzin üçün orginal hyundain ön və arxa əyləc kolodkası istəyirəm.","Hyundai Avante AD 2019, передние и задние тормозные колодки",EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
С284,mitsubishi airtrek on sol  ve sağ şüşə qaldıran,"Mitsubishi Airtrek, передние стеклоподъёмники",KZ-045,Механизм стеклоподъёмника,Şüşəqaldıran mexanizm,подтверждено вручную
С285,ON SALNIK,Передний сальник,MU-086,Сальник,Salnik,подтверждено второй проверкой
С287,Suport arxa sag,Задний правый суппорт,EY-003,Тормозной суппорт,Support (suport),подтверждено вручную
С288,Əl əyləcin arxa kolodkaları,Задние колодки ручного тормоза,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
С289,Çöl qranad 1 eded,"Наружный ШРУС, 1 штука",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С290,"Ön buferin alt qoruyucu, zaşitnik",Нижняя защита переднего бампера,KZ-076,Нижняя юбка бампера,Bufer altlığı (ətək),подтверждено вручную
С291,Tormuzun qlavnı silindiri,Главный тормозной цилиндр,EY-007,Главный тормозной цилиндр,Qlavnı silindir,подтверждено вручную
С292,Wolswagen Tuareg sol qapı qulpu,"VW Touareg, ручка левой двери",KZ-016,Ручка двери,Qapı ruçkası,подтверждено вручную
С293,2AZ FE klapan kök möhürləri 16 eded,"Маслосъёмные колпачки 2AZ-FE, 16 штук",MU-016,Маслосъёмный колпачок,Klapan salniyi,подтверждено вручную
С294,Rulavoy pacevnik,Подшипник рулевого,RG-03,Рулевой подшипник,Rulavoy pacevnik,подтверждено вручную
С295,amartizatorun paduskalari,Подушки амортизаторов,AS-002,Опора амортизатора (верхняя),Amortizator dayaq yastığı (opora),подтверждено вручную
С296,Alın şüşə fiallet,Фиолетовое лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С297,iç qranat sağ tərəf,Правый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С298,Kia k5lxs  2020 sərnişin tərəf Fara 4 lupa,"Kia K5 LXS 2020, пассажирская фара, 4 линзы",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С299,tesla monitor,Монитор Tesla,EL-023,Мультимедийный экран,Manitor (multimedia ekranı),подтверждено вручную
С300,Bmw f30 2012 328 n20 mator benzin nasos,"BMW F30 328 N20, бензонасос",YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
С301,Tayota Prado Zavod Tavan Manitoru,Заводской потолочный монитор Toyota Prado,EL-023,Мультимедийный экран,Manitor (multimedia ekranı),подтверждено второй проверкой
С302,Ayna qaldiran mator,Мотор стеклоподъёмника,EL-001,Мотор стеклоподъёмника,Şüşəqaldıran motoru,подтверждено вручную
С304,Toyota Frontlander 2024 mühərrikin üst Qapağının prokladksı var?,Прокладка верхней крышки двигателя Toyota Frontlander 2024,MU-014,Прокладка клапанной крышки,Üst krişka praklatkası,подтверждено вручную
С305,soyutma pəri,Вентилятор охлаждения,SO-002,Вентилятор радиатора (электровентилятор),Radiator ventilyatoru (elektroventilyator),подтверждено вручную
С306,ekran,Экран,EL-023,Мультимедийный экран,Manitor (multimedia ekranı),подтверждено второй проверкой
С307,задний швелер под бампер,Задний швеллер под бампер,KZ-043,Усилитель бампера (силовая балка),Bufer gücləndiricisi (arma),подтверждено вручную
С309,PCV klapan,Клапан PCV,MU-051,Мембрана PCV-клапана (маслоотделитель),Membran (PCV klapanı),подтверждено вручную
С311,25411-3S110 Patrufka,Патрубок 25411-3S110,SO-009,Патрубок системы охлаждения,"Soyutma şlanqı (su, antifriz)",подтверждено второй проверкой
С312,Şüşə qaldıran bloku,Блок стеклоподъёмников,EL-003,Кнопка/блок стеклоподъёмника,Şüşəqaldıran düyməsi/blok,подтверждено вручную
С313,qabaq alt zaşitnik,Передняя нижняя защита,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено вручную
С314,Qabaq sol fara (sürücü tərəf) şüşəsi lazımdır,Стекло передней левой фары,KZ-010,Стекло фары,Fara şüşəsi,подтверждено вручную
С315,On nacanecnik,Передний наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С316,Sag ic qranat,Правый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С317,Farsunkanın abratkası,Обратка форсунки,YA-027,Обратка форсунок,Farsunkanın abratkası,подтверждено вручную
С318,Orta qazan,Средняя банка глушителя,EG-004,Резонатор (средняя/задняя банка),Qazan (rezonator),подтверждено вручную
С319,Qabaq alin susesi patpres,Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С320,"Ön şüşə,patpres qabag",Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С322,mustuk,Муштук (насадка глушителя),EG-009,Насадка глушителя,Səsboğucu ucluğu (müştük),подтверждено вручную
С323,Krlonun üstündə olan benzin qapağı ağ rəng,Белый лючок бензобака на крыле,KZ-083,Лючок топливного бака (зарядного порта),Yanacaq doldurma qapağı,подтверждено вручную
С324,Radiatorun krişkası lazımdı,Крышка радиатора,SO-039,Крышка радиатора,Radiator qapağı,подтверждено вручную
С326,turbonun daçiki,Датчик турбины,MU-075,Датчик давления наддува турбины,Turbo (nadduv) datçiki,подтверждено второй проверкой
С327,hunday elantra 2017 təkərin içində olan hava təzyiqi yoxlayan datçik,"Hyundai Elantra 2017, датчик давления в шине",TK-005,Датчик давления в шине (TPMS),TPMS sensoru (təkər hava sensoru),подтверждено вручную
С328,rulyovoy şturval,Рулевой штурвал,SU-011,Руль (рулевое колесо),Rul (sükan çarxı),подтверждено вручную
С329,qabaq on faralar her iksi zbor,Обе передние фары в сборе,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С331,Qapı qulpu   elantra,Дверная ручка Elantra,KZ-016,Ручка двери,Qapı ruçkası,подтверждено вручную
А1,Arxa stop,Задний фонарь,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
А2,Chevrolet malibu ön bufer,Передний бампер Chevrolet Malibu,KZ-001,Бампер,Bufer,подтверждено вручную
А3,BMW m5 Qabag bufer,Передний бампер BMW M5,KZ-001,Бампер,Bufer,подтверждено вручную
А4,muherik yastığı,Подушка двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А5,Qabaq sağ sol çaşka lenforderle,Передние правая и левая чашки Lemforder,AS-029,Нижняя опорная чашка пружины амортизатора,Purjun alt çaşkası,подтверждено вручную
А7,padkrilnik,Подкрылок,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
А8,sag və sol padkrilniklər,Правый и левый подкрылки,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
А9,gidrousulitel mazda,Гидроусилитель Mazda,SU-005,Гидроусилитель руля,Rulevoy usilitel (gidrousilitel),подтверждено вручную
А11,Arxa bufer,Задний бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А12,Arxa amortizator 2 ədəd,"Задние амортизаторы, 2 штуки",AS-001,Амортизатор,Amortizator,подтверждено вручную
А13,sürətlər qutusunun yastıqlarının,Подушки коробки передач,MU-018,Подушка коробки передач,Karopka yastığı,подтверждено вручную
А14,Matorun Paduşqaları,Подушки двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А15,Sol fara(qaşsız),Левая фара (без реснички),KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А16,Dumanniy fara sag sol,"Противотуманные фары, правая и левая",KZ-006,Противотуманная фара,Duman fara,подтверждено вручную
А17,Led fara lupalı,Линзованная LED-фара,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А18,Audi Q5 qabag bufer 201w 2013,Передний бампер Audi Q5 2011-2013,KZ-001,Бампер,Bufer,подтверждено вручную
А19,Fara sağ sol,"Фары, правая и левая",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А20,Muherrik,Двигатель,MU-001,Двигатель в сборе,Mühərrik,подтверждено вручную
А21,Elektron Zaslonka,Электронная заслонка,MU-034,Дроссельная заслонка,Zaslonka,подтверждено вручную
А22,ABS bloku 58500 - N6000,Блок ABS 58500-N6000,EY-010,Блок ABS (гидроблок с насосом),ABS bloku,подтверждено вручную
А23,Kapot,Капот,KZ-023,Капот,Kapot,подтверждено вручную
А24,Radiator,Радиатор,SO-001,Радиатор охлаждения,Su radiatoru,подтверждено вручную
А25,Ön əyləc bəndi (naklatla),Передние тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А26,Qapı (polotno),Дверь (полотно),KZ-015,Дверь в сборе,Qapı (polotno),подтверждено вручную
А27,Turbo,Турбина,MU-037,Турбина,Turbo,подтверждено вручную
А28,ön ekran morda,Передняя панель (морда),KZ-032,Панель кузова,Kuzov paneli,подтверждено вручную
А29,Ön patpres,Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
А30,Subaro forester sola arxa stop,"Subaru Forester, левый задний фонарь",KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
А31,Matorun Sol ve arxa paduskasi,Левая и задняя подушки двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А32,Karter matorun,Картер двигателя,MU-009,Картер (маслосборник),Karter,подтверждено вручную
А34,Sveca,Свеча,SR-014,Свеча зажигания,Alışdırma şamı (sveça),подтверждено вручную
А35,Arxa əyləc bəndi (arxa naklatka),Задние тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А36,Bütöv arxa kardan,Задний кардан целиком,TR-012,Карданный вал,Kardan (ötürücü kardan valı),подтверждено вручную
А37,antifiriz,Антифриз,SR-007,Антифриз (охлаждающая жидкость),Antifriz,подтверждено вручную
А38,Sonata abş 2022 üsdən cıxma stop lazımdı (sag),"Sonata USA 2022, б/у правый задний фонарь",KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
А39,Sol arxa supportun porsen pulniki,Пыльник поршня левого заднего суппорта,EY-004,Ремкомплект суппорта (пыльники/манжеты),Support təmir dəsti (toz qoruyucusu/manjet),подтверждено вручную
А40,mator padushkasi sag teref,Правая подушка двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А41,Orijinal ön sol krılo,Оригинальное переднее левое крыло,KZ-027,Крыло,Krılo (qanad),подтверждено вручную
А42,Avtomat karobka,Автоматическая коробка передач,TR-001,Коробка передач в сборе,Sürətlər qutusu,подтверждено вручную
А43,Üst krişka praklatkası,Прокладка верхней крышки,MU-014,Прокладка клапанной крышки,Üst krişka praklatkası,подтверждено вручную
А44,kapot trosu qulpu ile birlikde,Трос капота вместе с ручкой,KZ-052,Тросик открывания капота/багажника,Kapot/baqaj açma trosu,подтверждено вручную
А45,Qabaq sağ fara Europa,Передняя правая европейская фара,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А46,ayaq alti,Коврик под ноги,AK-001,Коврик салона,Ayaqaltı (kovrik),подтверждено вручную
А47,Torpedo boz reng,Торпедо серого цвета,AK-012,Торпедо (передняя панель),Torpeda (panel),подтверждено вручную
А48,Eylec bendleri,Тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А49,Ön bufer,Передний бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А50,Sükan çarxı multi düymələrlə,Руль с мультимедийными кнопками,SU-011,Руль (рулевое колесо),Rul (sükan çarxı),подтверждено вручную
А51,KONDISIONERIN KOMPRESSORU,Компрессор кондиционера,SO-012,Компрессор кондиционера,Kondisioner kompressoru,подтверждено вручную
А52,Qabaq ve arxa nakladka,Передние и задние колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А53,Batareya,Аккумулятор,AB-001,Аккумулятор,Akkumulyator (batareya),подтверждено вручную
А55,pecin radioatoru,Радиатор печки,SO-011,Радиатор печки (отопителя салона),Peçin radiatoru (salon isitmə radiatoru),подтверждено вручную
А56,Mator karter,Картер двигателя,MU-009,Картер (маслосборник),Karter,подтверждено вручную
А57,Fara angeli arginal restaling 2014 dü,"Оригинальная фара Angel, рестайлинг 2014",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А58,Rulovoy kolonka,Рулевая колонка,SU-004,Рулевая колонка,Rulavoy kalonka,подтверждено вручную
А59,Arxa bufer m hisseli odenisle gotrmek olarmi?,Задний M-бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А60,Orginal ön sağ və sol Fara,Оригинальные передние правая и левая фары,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А61,Su radiatoru (tecili original ve yaxud yaxșısi),Радиатор охлаждения,SO-001,Радиатор охлаждения,Su radiatoru,подтверждено вручную
А62,Orijinal ön sol fara,Оригинальная передняя левая фара,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А63,Hava Kollektoru,Воздушный коллектор,MU-032,Впускной коллектор,Hava kollektoru,подтверждено вручную
А64,Qabaq lip,Передняя губа,TY-005,Губа бампера (lip),Lip (bufer alt dodağı),подтверждено вручную
А65,1.5 eco blu mator qalofka praklatkası,Прокладка головки двигателя 1.5 EcoBlue,MU-012,Прокладка ГБЦ,Qalofka praklatkası,подтверждено вручную
А66,Amerikanka sağ fara 8 qaş (lupa),"Правая американская фара, 8 ресничек (линза)",KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А67,iç qranatlar,Внутренние ШРУСы,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
А68,Sarlotda bufer,Бампер (Sarlot),KZ-001,Бампер,Bufer,подтверждено вручную
А69,Babin,Катушка зажигания,MU-025,Катушка зажигания,Babin (bobin),подтверждено вручную
А70,Qabag bufer,Передний бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А71,Ford focus 2007 1.6 benzin matorun özü,"Ford Focus 2007 1.6 бензин, двигатель целиком",MU-001,Двигатель в сборе,Mühərrik,подтверждено вручную
А72,"Bmw 116i 2008 ci il, ön alın şüşəsi (padpres) lazımdı","BMW 116i 2008, переднее лобовое стекло",KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
А73,Radiator bacokun qapaqi,Крышка бачка радиатора,SO-032,Крышка бачка,Baçok qapağı,подтверждено вручную
А74,Bufer,Бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А75,Nakladka arxa və qabag,Передние и задние колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А76,Fara,Фара,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А77,Dinamo,Генератор,MU-047,Генератор,Dinamo (generator),подтверждено вручную
А78,Şüşə silen matoru,Мотор стеклоочистителя,EL-072,Моторчик стеклоочистителя (дворников),Şüşə silənin motoru (dvornik motoru),подтверждено вручную
А79,Spoyler,Спойлер,KZ-036,Спойлер,Spoyler,подтверждено вручную
А80,4 matikdi qabaq sağ tərəf qranat,"4Matic, передний правый ШРУС",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
А81,sol yan güzgünün dönmə işıq stopu,Поворотник левого бокового зеркала,KZ-069,Повторитель поворотника в зеркале,Güzgüdə povorotnik (təkrarlayıcı),подтверждено вручную
А82,Surucunun altindaki zasitnik,Защита под водителем,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено второй проверкой
А83,İç qranatlar,Внутренние ШРУСы,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
А84,Qalofka Praklatka,Прокладка головки блока,MU-012,Прокладка ГБЦ,Qalofka praklatkası,подтверждено вручную
А85,Sol güzgü,Левое зеркало,KZ-020,Боковое зеркало,Güzgü (yan güzgü),подтверждено вручную
А86,Porşen,Поршень,MU-004,Поршень,Porşen,подтверждено вручную
А87,Su pompası,Водяная помпа,SO-006,Водяная помпа,Su pompası,подтверждено вручную
А88,Arxa baqaj,Задняя дверь багажника,KZ-033,Крышка багажника,Baqaj qapısı,подтверждено вручную
А89,Əl əyləci bəndləri,Колодки ручного тормоза,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А90,Hyundai avante 1.6 dizel mühərrik lazımdır,Дизельный двигатель Hyundai Avante 1.6,MU-001,Двигатель в сборе,Mühərrik,подтверждено вручную
А91,Sol ön stupsia paçevniki,Подшипник передней левой ступицы,AS-007,Подшипник ступицы,Stupitsa podşipniki,подтверждено вручную
А92,qabax sag fara,Передняя правая фара,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
А93,Ön və arxa əyləc bəndləri neçəyədir? Büdcə dostu məhsul olsun,Передние и задние тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А94,zaslonka,Заслонка,MU-034,Дроссельная заслонка,Zaslonka,подтверждено вручную
А95,Klapan,Клапан,MU-015,Клапан (впускной/выпускной),Klapan,подтверждено вручную
А96,Qabağ setka lt buferin abilsofka,"Передняя сетка, облицовка LT-бампера",KZ-086,Решётка бампера (нижняя),Bufer barmaqlığı,подтверждено вручную
А97,Katalizatorun daciki,Датчик катализатора,EG-002,Датчик катализатора / кислородный датчик (лямбда-зонд),Katalizator/oksigen datçiki (lambda zond),подтверждено вручную
А98,yağ filteri,Масляный фильтр,SR-002,Масляный фильтр,Yağ filtri,подтверждено вручную
А99,Vozduxamer,Расходомер воздуха,MU-033,Датчик расхода воздуха (ДМРВ),Vozduxamer (MAF sensoru),подтверждено вручную
А100,Rulavoy kalonka lazimdir kimdə varsa yazsın və foto gondersin,Рулевая колонка,SU-004,Рулевая колонка,Rulavoy kalonka,подтверждено вручную
А101,turbo aktivatoru Hyndai vercruz,Актуатор турбины Hyundai Veracruz,MU-038,Актюатор турбины (вестгейт),Turbo aktuatoru,подтверждено вручную
А102,hava xortumu,Воздушный шланг,RG-04,Воздушный патрубок (впускной),Hava borusu (hava filtri şlanqı),подтверждено вручную
А103,Stop,Задний фонарь,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
А104,Benzin nasos,Бензонасос,YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
А105,sport yay,Спортивная пружина,TY-013,Спортивная пружина/койловер,Sport yay/koilover,подтверждено вручную
А106,Ön əyləc diski,Передний тормозной диск,EY-002,Тормозной диск,Apornu (əyləc diski),подтверждено вручную
А107,bufer göy,Синий бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А108,99 c 230 2.3 k ucun kondisonerin kopressoru,Компрессор кондиционера C230 1999,SO-012,Компрессор кондиционера,Kondisioner kompressoru,подтверждено вручную
А109,Arxa əyləc bəndi,Задние тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А110,Hava filtri,Воздушный фильтр,SR-003,Воздушный фильтр,Hava filtri,подтверждено вручную
А111,Mercedes logo,Логотип Mercedes,KZ-039,Эмблема/логотип,Emblema/logo,подтверждено вручную
А112,Naklatka (əyləc bəndi),Тормозная колодка,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А113,Sürətlər qutusu mexanika,Механическая коробка передач,TR-001,Коробка передач в сборе,Sürətlər qutusu,подтверждено вручную
А114,Qabaq çöl qranat piknik,"Передний наружный ШРУС, Picnic",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
А115,Amartizator on ve arxa,Передние и задние амортизаторы,AS-001,Амортизатор,Amortizator,подтверждено вручную
А116,qabaq bufer salaskası,Планка переднего бампера,KZ-002,Кронштейн крепления бампера,Bufer kronşteyni (salaska),подтверждено вручную
А117,Zaslonka  (göy etiket),Заслонка (синяя этикетка),MU-034,Дроссельная заслонка,Zaslonka,подтверждено вручную
А118,gidrousilitel,Гидроусилитель,SU-005,Гидроусилитель руля,Rulevoy usilitel (gidrousilitel),подтверждено вручную
А119,Muherrik yastiqi,Подушка двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А120,Çaşka feredo,Корзина и диск сцепления,TR-032,Комплект сцепления,Mufta dəsti,подтверждено вручную
А121,Fara şüşəsi lazımdır,Стекло фары,KZ-010,Стекло фары,Fara şüşəsi,подтверждено вручную
А122,Ön əyləc bəndi,Передние тормозные колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
А123,Arxa stop ledli,Задний LED-фонарь,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
А124,Ön alın şüşəsi,Переднее лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
А125,qabağ kamera (99250L0000),Передняя камера (99250L0000),EL-035,Камера,Kamera,подтверждено вручную
А126,Sağ tərəf almacıq,Правая рулевая тяга,SU-002,Рулевая тяга,Sükan dartısı,подтверждено вручную
А127,Park radar - 96890-A5000YAC,Парктроник 96890-A5000YAC,EL-013,Датчик парктроника,Park radar sensoru (şunuru),подтверждено вручную
А128,Sağ amartizator original veya ustden cixma firmada olar,Правый амортизатор,AS-001,Амортизатор,Amortizator,подтверждено вручную
А129,Mator paduşkalar,Подушки двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
А130,qabaq bufer,Передний бампер,KZ-001,Бампер,Bufer,подтверждено вручную
А131,toyota prius 20 govde sag teref padkrilnik,"Toyota Prius 20, правый подкрылок",KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
А132,Рулевая калонка,Рулевая колонка,SU-004,Рулевая колонка,Rulavoy kalonka,подтверждено вручную
А133,Qabaq sağ stupitsa podşipniki,Подшипник передней правой ступицы,AS-007,Подшипник ступицы,Stupitsa podşipniki,подтверждено вручную
Б2,Kanpilekt mator sepi,Комплект цепи двигателя,MU-055,Цепь ГРМ,Zəncir (vaxtlama zənciri),подтверждено вручную
Б3,SAG TƏRƏF QAPILARIN ALTININ KANTLATI,Накладки снизу дверей справа,KZ-092,Кант порога под дверью,Qapı altı kantı,подтверждено вручную
Б4,guzcunun altindaki qapaq,Крышка под зеркалом,KZ-022,Корпус зеркала,Güzgü korpusu,подтверждено вручную
Б5,alışdırma şamları,Свечи зажигания,SR-014,Свеча зажигания,Alışdırma şamı (sveça),подтверждено вручную
Б6,Miquin 5*30 dizel üçün 6 litir neçəyədir,"Масло Meguin 5W-30, 6 литров",SR-001,Моторное масло,Mühərrik yağı,подтверждено вручную
Б9,Təkərin qırağında olan plasmas,Пластик вокруг колеса,KZ-055,Расширитель арки / накладка бокового обвеса,Qanad genişləndiricisi (arka),подтверждено второй проверкой
Б12,2017 kia sorento qabaq podpresin qiraq kanti lazimdir ( surucu teref),"Kia Sorento 2017, наружный молдинг лобового стекла",KZ-095,Кант лобового стекла (молдинг),Ön şüşə kantı (moldinq),поправлено при второй проверке
Б14,Giriş kollektorun  prokladkası( boğaz rezini) Yalnız Orijinal,Прокладка впускного коллектора (резинка горловины),MU-087,Прокладка коллектора,Kollektor araqatı,подтверждено вручную
