external_code,category,category_slug,name_az,name_ru,synonyms,synonyms_count,name_terms,name_terms_count,requires_side,requires_direction,requires_location,is_active,created_at
EL-067,Датчики/ЭБУ,electrical-sensors-ecu,Yaddaşlı oturacaq bloku,Блок памяти сидений,yaddasli oturacaq bloku,1,Yaddaşlı oturacaq bloku; Блок памяти сидений; yaddasli oturacaq bloku,3,No,No,No,Yes,2026-07-21 14:10:44
EL-028,Датчики/ЭБУ,electrical-sensors-ecu,Predaxranitel bloku (qoruyucular),Блок предохранителей,qoruyucular; блокпредохранителей,2,Predaxranitel bloku (qoruyucular); Блок предохранителей; predaxranitel bloku qoruyucular; qoruyucular; блокпредохранителей,5,No,No,No,Yes,2026-07-21 14:10:44
EL-080,Датчики/ЭБУ,electrical-sensors-ecu,Aktuator idarəetmə bloku,Блок управления актуатором,aktuator idareetme bloku,1,Aktuator idarəetmə bloku; Блок управления актуатором; aktuator idareetme bloku,3,No,No,No,Yes,2026-08-25 15:39:05
EL-006,Датчики/ЭБУ,electrical-sensors-ecu,Mühərrik idarəetmə bloku (ECU),Блок управления двигателем (ECU),ecu; muherrik idareetme bloku ecu,2,Mühərrik idarəetmə bloku (ECU); Блок управления двигателем (ECU); mühərrik idarəetmə bloku ecu; блок управления двигателем ecu; ecu; muherrik idareetme bloku ecu,6,No,No,No,Yes,2026-07-21 14:10:44
EL-007,Датчики/ЭБУ,electrical-sensors-ecu,BCM (kuzov idarəetmə bloku),Блок управления кузовом (BCM),bcm; kuzov idarəetmə bloku; kuzov idareetme bloku; bcm kuzov idareetme bloku,4,BCM (kuzov idarəetmə bloku); Блок управления кузовом (BCM); bcm kuzov idarəetmə bloku; блок управления кузовом bcm; bcm; kuzov idarəetmə bloku; kuzov idareetme bloku; bcm kuzov idareetme bloku,8,No,No,No,Yes,2026-07-21 14:10:44
EL-037,Датчики/ЭБУ,electrical-sensors-ecu,Stop siqnal açarı (laqruşka),Выключатель стоп-сигнала (лягушка),лягушка; laqruşka; laqruska; stop siqnal acari laqruska,4,Stop siqnal açarı (laqruşka); Выключатель стоп-сигнала (лягушка); stop siqnal açarı laqruşka; выключатель стоп сигнала лягушка; лягушка; laqruşka; laqruska; stop siqnal acari laqruska,8,No,No,No,Yes,2026-07-21 14:10:44
EL-031,Датчики/ЭБУ,electrical-sensors-ecu,Hibrid invertoru,Гибридный инвертор,hibridinvertoru; гибридныйинвертор,2,Hibrid invertoru; Гибридный инвертор; hibridinvertoru; гибридныйинвертор,4,No,No,No,Yes,2026-07-21 14:10:44
EL-017,Датчики/ЭБУ,electrical-sensors-ecu,Yağış sensoru,Датчик дождя,yagis sensoru; yagissensoru; датчикдождя,3,Yağış sensoru; Датчик дождя; yagis sensoru; yagissensoru; датчикдождя,5,No,No,No,Yes,2026-07-21 14:10:44
RG-12,Датчики/ЭБУ,electrical-sensors-ecu,NOx sensoru,Датчик оксидов азота,nox sensor; nox sensoru; nox datçiki; azot oksidi sensoru; azot oksidləri datçiki; nitrogen oxide sensor; nitrogen oxides sensor; датчик NOx; NOx-датчик; датчик оксида азота; датчик оксидов азота; nox datciki; azot oksidleri datciki; noxsensor; noxsensoru; noxdatciki; датчикnox; noxдатчик,18,nox датчик; nox sensor; nox sensoru; nox datçiki; azot oksidi sensoru; azot oksidləri datçiki; nitrogen oxide sensor; nitrogen oxides sensor; датчик NOx; NOx-датчик; датчик оксида азота; датчик оксидов азота; nox datciki; azot oksidleri datciki; noxsensor; noxsensoru; noxdatciki; датчикnox; noxдатчик,19,No,No,No,Yes,2026-08-22 12:15:42
EL-081,Датчики/ЭБУ,electrical-sensors-ecu,İşıq sensoru,Датчик освещённости,isiq sensoru; isiqsensoru; датчикосвещённости,3,İşıq sensoru; Датчик освещённости; işıq sensoru; isiq sensoru; isiqsensoru; датчикосвещённости,6,No,No,No,Yes,2026-08-25 15:39:51
EL-027,Датчики/ЭБУ,electrical-sensors-ecu,Sürət sensoru (spidometr),Датчик скорости,spidometr; suret sensoru spidometr; датчикскорости,3,Sürət sensoru (spidometr); Датчик скорости; sürət sensoru spidometr; spidometr; suret sensoru spidometr; датчикскорости,6,No,No,No,Yes,2026-07-21 14:10:44
SO-016,Датчики/ЭБУ,electrical-sensors-ecu,Su temperaturu datçiki,Датчик температуры охлаждающей жидкости,sensor su tempuraturu; su temperaturu datciki,2,Su temperaturu datçiki; Датчик температуры охлаждающей жидкости; sensor su tempuraturu; su temperaturu datciki,4,No,No,No,Yes,2026-07-21 14:10:44
EL-069,Датчики/ЭБУ,electrical-sensors-ecu,Yuyucu mayesi səviyyə datçiki,Датчик уровня жидкости омывателя,yuyucu mayesi seviyye datciki,1,Yuyucu mayesi səviyyə datçiki; Датчик уровня жидкости омывателя; yuyucu mayesi seviyye datciki,3,No,No,No,Yes,2026-07-21 14:10:44
EL-079,Датчики/ЭБУ,electrical-sensors-ecu,OBD diaqnostika yuvası,Диагностический разъём OBD,obd diaqnostika yuvasi,1,OBD diaqnostika yuvası; Диагностический разъём OBD; obd diaqnostika yuvasi,3,No,No,No,Yes,2026-08-25 15:38:24
EL-056,Датчики/ЭБУ,electrical-sensors-ecu,Siqnal (qudok),Звуковой сигнал (гудок),гудок; qudok; siqnalqudok,3,Siqnal (qudok); Звуковой сигнал (гудок); siqnal qudok; звуковой сигнал гудок; гудок; qudok; siqnalqudok,7,No,No,No,Yes,2026-07-21 14:10:44
EL-046,Датчики/ЭБУ,electrical-sensors-ecu,Avariya düyməsi,Кнопка аварийной сигнализации,avariya duymesi; avariyaduymesi,2,Avariya düyməsi; Кнопка аварийной сигнализации; avariya duymesi; avariyaduymesi,4,No,No,No,Yes,2026-07-21 14:10:44
EL-011,Датчики/ЭБУ,electrical-sensors-ecu,Multi rul düymələri,Кнопки на руле,multi rul duymeleri,1,Multi rul düymələri; Кнопки на руле; multi rul duymeleri,3,No,No,No,Yes,2026-07-21 14:10:44
EL-045,Датчики/ЭБУ,electrical-sensors-ecu,Qapı konsevigi (açıq qapı datçiki),Концевик двери (датчик открытой двери),датчик открытой двери; açıq qapı datçiki; aciq qapi datciki; qapi konsevigi aciq qapi datciki,4,Qapı konsevigi (açıq qapı datçiki); Концевик двери (датчик открытой двери); qapı konsevigi açıq qapı datçiki; концевик двери датчик открытой двери; датчик открытой двери; açıq qapı datçiki; aciq qapi datciki; qapi konsevigi aciq qapi datciki,8,Yes,Yes,No,Yes,2026-07-21 14:10:44
RG-10,Датчики/ЭБУ,electrical-sensors-ecu,Qoruyucu bloku qapağı,Крышка блока предохранителей,qoruyucu blokun qapağı; sigorta qutusunun qapağı; predaxranitel bloku qapağı; крышка блока предохранителей; крышка предохранителей; qoruyucu blokun qapagi; sigorta qutusunun qapagi; predaxranitel bloku qapagi; qoruyucu bloku qapagi; крышкапредохранителей,10,Qoruyucu bloku qapağı; qoruyucu blokun qapağı; sigorta qutusunun qapağı; predaxranitel bloku qapağı; крышка блока предохранителей; крышка предохранителей; qoruyucu blokun qapagi; sigorta qutusunun qapagi; predaxranitel bloku qapagi; qoruyucu bloku qapagi; крышкапредохранителей,11,No,No,No,Yes,2026-07-28 19:00:04
EL-078,Датчики/ЭБУ,electrical-sensors-ecu,DC-DC gərginlik çeviricisi,Преобразователь напряжения DC-DC,dc dc gerginlik ceviricisi,1,DC-DC gərginlik çeviricisi; Преобразователь напряжения DC-DC; dc dc gərginlik çeviricisi; преобразователь напряжения dc dc; dc dc gerginlik ceviricisi,5,No,No,No,Yes,2026-08-25 15:37:32
EL-032,Датчики/ЭБУ,electrical-sensors-ecu,Naqillər/ştekerlər (provodka),Проводка/разъёмы,proводка; start stop düyməsinin oboyması; start stop oboyma; beyinden daciklere geden umumi şunur; umumi şunur sistemi; zbor beyin mobilzator ilə; start stop duymesinin oboymasi; beyinden daciklere geden umumi sunur; umumi sunur sistemi; zbor beyin mobilzator ile; naqiller stekerler provodka; проводкаразъёмы,12,Naqillər/ştekerlər (provodka); Проводка/разъёмы; naqillər ştekerlər provodka; проводка разъёмы; proводка; start stop düyməsinin oboyması; start stop oboyma; beyinden daciklere geden umumi şunur; umumi şunur sistemi; zbor beyin mobilzator ilə; start stop duymesinin oboymasi; beyinden daciklere geden umumi sunur; umumi sunur sistemi; zbor beyin mobilzator ile; naqiller stekerler provodka; проводкаразъёмы,16,No,No,No,Yes,2026-07-21 14:10:44
EL-083,Датчики/ЭБУ,electrical-sensors-ecu,Head-up displey,Проекционный дисплей,проекционныйдисплей,1,Head-up displey; Проекционный дисплей; head up displey; проекционныйдисплей,4,No,No,No,Yes,2026-08-25 17:38:03
EL-049,Датчики/ЭБУ,electrical-sensors-ecu,Benzin nasosu relesi,Реле бензонасоса,релебензонасоса,1,Benzin nasosu relesi; Реле бензонасоса; релебензонасоса,3,No,No,No,Yes,2026-07-21 14:10:44
EL-050,Датчики/ЭБУ,electrical-sensors-ecu,Şotka relesi,Реле дворников,sotka relesi; sotkarelesi; реледворников,3,Şotka relesi; Реле дворников; sotka relesi; sotkarelesi; реледворников,5,No,No,No,Yes,2026-07-21 14:10:44
EL-051,Датчики/ЭБУ,electrical-sensors-ecu,Kondisioner relesi,Реле кондиционера,kondisionerrelesi; релекондиционера,2,Kondisioner relesi; Реле кондиционера; kondisionerrelesi; релекондиционера,4,No,No,No,Yes,2026-07-21 14:10:44
EL-052,Датчики/ЭБУ,electrical-sensors-ecu,Povorotnik relesi,Реле поворотов (прерыватель),прерыватель; dönmə işığı relesi; donme isigi relesi; povorotnikrelesi,4,Povorotnik relesi; Реле поворотов (прерыватель); реле поворотов прерыватель; прерыватель; dönmə işığı relesi; donme isigi relesi; povorotnikrelesi,7,No,No,No,Yes,2026-07-21 14:10:44
EL-053,Датчики/ЭБУ,electrical-sensors-ecu,Qızdırıcı şam relesi,Реле свечей накала,qizdirici sam relesi,1,Qızdırıcı şam relesi; Реле свечей накала; qizdirici sam relesi,3,No,No,No,Yes,2026-07-21 14:10:44
EL-026,Датчики/ЭБУ,electrical-sensors-ecu,Elektron qaz pedalı,Электронная педаль газа,qaz pedalı; qaz pedali; elektron qaz pedali; qazpedali,4,Elektron qaz pedalı; Электронная педаль газа; qaz pedalı; qaz pedali; elektron qaz pedali; qazpedali,6,No,No,No,Yes,2026-07-21 14:10:44
EL-033,Датчики/блок климата,climate-control,Oturacaq/sükan qızdırıcı-soyuducu bloku,Блок обогрева/охлаждения сидений и руля,блок обогрева сидений и руля; блок охлаждения сидений и руля; oturacaq qızdırıcı soyuducu bloku; sükan qızdırıcı soyuducu bloku; oturacaq qizdirici soyuducu bloku; sukan qizdirici soyuducu bloku; oturacaq sukan qizdirici soyuducu bloku,7,Oturacaq/sükan qızdırıcı-soyuducu bloku; Блок обогрева/охлаждения сидений и руля; oturacaq sükan qızdırıcı soyuducu bloku; блок обогрева охлаждения сидений и руля; блок обогрева сидений и руля; блок охлаждения сидений и руля; oturacaq qızdırıcı soyuducu bloku; sükan qızdırıcı soyuducu bloku; oturacaq qizdirici soyuducu bloku; sukan qizdirici soyuducu bloku; oturacaq sukan qizdirici soyuducu bloku,11,No,No,No,Yes,2026-07-21 14:10:44
EL-019,Датчики/блок климата,climate-control,Kondisioner idarəetmə bloku (klimat kontrol),Блок управления климат-контролем,klimat kontrol; isti soyuqa çeviren modulyator; isti soyuq modulyator; isti soyuqa ceviren modulyator; kondisioner idareetme bloku klimat kontrol; klimatkontrol,6,Kondisioner idarəetmə bloku (klimat kontrol); Блок управления климат-контролем; kondisioner idarəetmə bloku klimat kontrol; блок управления климат контролем; klimat kontrol; isti soyuqa çeviren modulyator; isti soyuq modulyator; isti soyuqa ceviren modulyator; kondisioner idareetme bloku klimat kontrol; klimatkontrol,10,No,No,No,Yes,2026-07-21 14:10:44
EL-020,Датчики/блок климата,climate-control,Kondisioner datçiki,Датчик кондиционера,датчик кондиционера; актуатор кондиционера; kondisioner aktuatoru; kondisioner datçiki; kondisioner datciki; датчиккондиционера; актуаторкондиционера; kondisioneraktuatoru; kondisionerdatciki,9,датчик кондиционера; актуатор кондиционера; kondisioner aktuatoru; kondisioner datçiki; kondisioner datciki; датчиккондиционера; актуаторкондиционера; kondisioneraktuatoru; kondisionerdatciki,9,No,No,No,Yes,2026-07-21 14:10:44
RG-01,Датчики/блок климата,climate-control,Çöl temperatur datçiki,Датчик наружной температуры,çöl temperatur datçiki; çöl temperatur sensoru; çöl temperatur sensor; çöl hava temperatur datçiki; çöl hava temperatur sensoru; xarici temperatur datçiki; xarici temperatur sensoru; ambient temperature sensor; ambient sensor; outside temperature sensor; outside air temperature sensor; external temperature sensor; outside temp sensor; датчик наружной температуры; датчик внешней температуры; датчик наружного воздуха; датчик температуры наружного воздуха; датчик температуры окружающего воздуха; датчик уличной температуры; датчик внешней температуры воздуха; col temperatur datciki; col temperatur sensoru; col temperatur sensor; col hava temperatur datciki; col hava temperatur sensoru; xarici temperatur datciki; ambientsensor,27,çöl temperatur datçiki; çöl temperatur sensoru; çöl temperatur sensor; çöl hava temperatur datçiki; çöl hava temperatur sensoru; xarici temperatur datçiki; xarici temperatur sensoru; ambient temperature sensor; ambient sensor; outside temperature sensor; outside air temperature sensor; external temperature sensor; outside temp sensor; датчик наружной температуры; датчик внешней температуры; датчик наружного воздуха; датчик температуры наружного воздуха; датчик температуры окружающего воздуха; датчик уличной температуры; датчик внешней температуры воздуха; col temperatur datciki; col temperatur sensoru; col temperatur sensor; col hava temperatur datciki; col hava temperatur sensoru; xarici temperatur datciki; ambientsensor,27,No,No,No,Yes,2026-08-22 12:15:42
EL-068,Датчики/блок климата,climate-control,Kondisionerin hava axını datçiki,Датчик расхода воздуха кондиционера,kondisionerin hava axini datciki,1,Kondisionerin hava axını datçiki; Датчик расхода воздуха кондиционера; kondisionerin hava axini datciki,3,No,No,No,Yes,2026-07-21 14:10:44
KZ-015,Двери,body-doors,Qapı (polotno),Дверь в сборе,polotno; qapı; qapi; qapi polotno; qapipolotno,5,Qapı (polotno); Дверь в сборе; qapı polotno; polotno; qapı; qapi; qapi polotno; qapipolotno,8,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-017,Двери,body-doors,Qapı zamoku,Замок двери,qapı kilidi; qapi kilidi; qapi zamoku; qapikilidi; qapizamoku; замокдвери,6,Qapı zamoku; Замок двери; qapı kilidi; qapi kilidi; qapi zamoku; qapikilidi; qapizamoku; замокдвери,8,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-045,Двери,body-doors,Şüşəqaldıran mexanizm,Механизм стеклоподъёмника,şüşə qaldıran mexanizimi; şüşə qaldıranı; qapı şüşə qaldırıcı mexanizmi; şüşə qaldırıcı; suse qaldiran mexanizimi; suse qaldirani; qapi suse qaldirici mexanizmi; suse qaldirici; suseqaldiran mexanizm; suseqaldirani; suseqaldirici; suseqaldiranmexanizm; механизмстеклоподъёмника,13,Şüşəqaldıran mexanizm; Механизм стеклоподъёмника; şüşə qaldıran mexanizimi; şüşə qaldıranı; qapı şüşə qaldırıcı mexanizmi; şüşə qaldırıcı; suse qaldiran mexanizimi; suse qaldirani; qapi suse qaldirici mexanizmi; suse qaldirici; suseqaldiran mexanizm; suseqaldirani; suseqaldirici; suseqaldiranmexanizm; механизмстеклоподъёмника,15,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-019,Двери,body-doors,Qapı kartası,Обшивка двери (карта),карта; oblisovka; abifka; abifkasi; qapi kartasi; qapikartasi,6,Qapı kartası; Обшивка двери (карта); обшивка двери карта; карта; oblisovka; abifka; abifkasi; qapi kartasi; qapikartasi,9,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-058,Двери,body-doors,Qapı fiksatoru,Ограничитель (фиксатор) двери,фиксатор; qapi fiksatoru; qapifiksatoru,3,Qapı fiksatoru; Ограничитель (фиксатор) двери; ограничитель фиксатор двери; фиксатор; qapi fiksatoru; qapifiksatoru,6,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-041,Двери,body-doors,Qapı menteşəsi,Петля двери,qapı petləsi; qapi petlesi; qapi mentesesi; qapipetlesi; qapimentesesi; петлядвери,6,Qapı menteşəsi; Петля двери; qapı petləsi; qapi petlesi; qapi mentesesi; qapipetlesi; qapimentesesi; петлядвери,8,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-016,Двери,body-doors,Qapı ruçkası,Ручка двери,qapi tutacag; qapı tutacağı; qapı dəstəyi; qapının xarici tutacağı; iç qapı dəstəyi; qapı əlcəyi; qapı əlcəgi; qapi tutacagi; qapi desteyi; qapinin xarici tutacagi; ic qapi desteyi; qapi elceyi; qapi elcegi; qapi ruckasi; qapitutacag; qapitutacagi; qapidesteyi; qapielceyi; qapielcegi; qapiruckasi; ручкадвери,21,Qapı ruçkası; Ручка двери; qapi tutacag; qapı tutacağı; qapı dəstəyi; qapının xarici tutacağı; iç qapı dəstəyi; qapı əlcəyi; qapı əlcəgi; qapi tutacagi; qapi desteyi; qapinin xarici tutacagi; ic qapi desteyi; qapi elceyi; qapi elcegi; qapi ruckasi; qapitutacag; qapitutacagi; qapidesteyi; qapielceyi; qapielcegi; qapiruckasi; ручкадвери,23,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-018,Двери,body-doors,Qapı rezini,Уплотнитель двери,qapı və baqaj rezini; qapi ve baqaj rezini; qapi rezini; qapirezini; уплотнительдвери,5,Qapı rezini; Уплотнитель двери; qapı və baqaj rezini; qapi ve baqaj rezini; qapi rezini; qapirezini; уплотнительдвери,7,Yes,Yes,No,Yes,2026-07-21 14:10:44
KZ-061,Двери,body-doors,Şüşəqaldıran cerviyakı (val),Червяк стеклоподъёмника,val; şüşə qaldıran trosu; şüşə qaldıran tros; şüşənin trosu; şüşəqaldıran zəncir; suse qaldiran trosu; suse qaldiran tros; susenin trosu; suseqaldiran zencir; suseqaldiran cerviyaki val; susenintrosu; suseqaldiranzencir; червякстеклоподъёмника,13,Şüşəqaldıran cerviyakı (val); Червяк стеклоподъёмника; şüşəqaldıran cerviyakı val; val; şüşə qaldıran trosu; şüşə qaldıran tros; şüşənin trosu; şüşəqaldıran zəncir; suse qaldiran trosu; suse qaldiran tros; susenin trosu; suseqaldiran zencir; suseqaldiran cerviyaki val; susenintrosu; suseqaldiranzencir; червякстеклоподъёмника,16,Yes,Yes,No,Yes,2026-07-21 14:10:44
MU-010,Двигатель в сборе/поршневая,engine-assembly,Balans valı,Балансировочный вал,balans vali; balansvali; балансировочныйвал,3,Balans valı; Балансировочный вал; balans vali; balansvali; балансировочныйвал,5,No,No,No,Yes,2026-07-21 14:10:44
MU-070,Двигатель в сборе/поршневая,engine-assembly,Silindr bloku,Блок цилиндров,silindrbloku; блокцилиндров,2,Silindr bloku; Блок цилиндров; silindrbloku; блокцилиндров,4,No,No,No,Yes,2026-07-21 14:10:44
MU-006,Двигатель в сборе/поршневая,engine-assembly,Vkladış,Вкладыши,şatun yatağı; satun yatagi; vkladis; satunyatagi,4,Vkladış; Вкладыши; şatun yatağı; satun yatagi; vkladis; satunyatagi,6,No,No,No,Yes,2026-07-21 14:10:44
MU-032,Двигатель в сборе/поршневая,engine-assembly,Hava kollektoru,Впускной коллектор,havakollektoru; впускнойколлектор,2,Hava kollektoru; Впускной коллектор; havakollektoru; впускнойколлектор,4,No,No,No,Yes,2026-07-21 14:10:44
MU-001,Двигатель в сборе/поршневая,engine-assembly,Mühərrik,Двигатель в сборе,mühərrik; muherrik,2,Двигатель в сборе; mühərrik; muherrik,3,No,No,No,Yes,2026-07-21 14:10:44
MU-068,Двигатель в сборе/поршневая,engine-assembly,Blok tıxacı (çopik),Заглушка блока цилиндров,çopik; copik; blok tixaci copik,3,Blok tıxacı (çopik); Заглушка блока цилиндров; blok tıxacı çopik; çopik; copik; blok tixaci copik,6,No,No,No,Yes,2026-07-21 14:10:44
MU-053,Двигатель в сборе/поршневая,engine-assembly,Mühərrik alt qoruyucusu,Защита картера двигателя,motorun altindaki qoruyucu plastik; ремонтный поршень кольца; korpus prk; matorun alt zaşitniki usten cixma; matorun su zaquruskasi; matorun sepi komplekt; matorun alt zasitniki usten cixma; muherrik alt qoruyucusu; korpusprk,9,Mühərrik alt qoruyucusu; Защита картера двигателя; motorun altindaki qoruyucu plastik; ремонтный поршень кольца; korpus prk; matorun alt zaşitniki usten cixma; matorun su zaquruskasi; matorun sepi komplekt; matorun alt zasitniki usten cixma; muherrik alt qoruyucusu; korpusprk,11,No,No,No,Yes,2026-08-22 12:03:18
MU-097,Двигатель в сборе/поршневая,engine-assembly,Yağ filtrinin qoruyucusu,Защита масляного фильтра,yag filtrinin qoruyucusu,1,Yağ filtrinin qoruyucusu; Защита масляного фильтра; yag filtrinin qoruyucusu,3,No,No,No,Yes,2026-08-25 15:36:41
MU-009,Двигатель в сборе/поршневая,engine-assembly,Karter,Картер (маслосборник),маслосборник; mühərrik karteri; muherrik karteri; muherrikkarteri; картермаслосборник,5,Karter; Картер (маслосборник); картер маслосборник; маслосборник; mühərrik karteri; muherrik karteri; muherrikkarteri; картермаслосборник,8,No,No,No,Yes,2026-07-21 14:10:44
MU-096,Двигатель в сборе/поршневая,engine-assembly,Yağ təzyiqi klapanı,Клапан регулировки давления масла,yag tezyiqi klapani,1,Yağ təzyiqi klapanı; Клапан регулировки давления масла; yag tezyiqi klapani,3,No,No,No,Yes,2026-08-25 15:35:47
MU-002,Двигатель в сборе/поршневая,engine-assembly,Kalenval,Коленвал,dirsəkli val; dirsəkli valı; mühərrikin dirsəkli valı; dirsekli val; dirsekli vali; muherrikin dirsekli vali; dirseklival; dirseklivali,8,Kalenval; Коленвал; dirsəkli val; dirsəkli valı; mühərrikin dirsəkli valı; dirsekli val; dirsekli vali; muherrikin dirsekli vali; dirseklival; dirseklivali,10,No,No,No,Yes,2026-07-21 14:10:44
MU-059,Двигатель в сборе/поршневая,engine-assembly,Hava filtri qutusu (korpus),Корпус воздушного фильтра (airbox),airbox; korpus; hava filter korpusu; hava filter qabı; hava filteri qabı; hava qabı; havaölçən qabı; hava filteri qutusu; hava filteri qazanı; hava filteri qutusu korpus; hava filtri qabı; hava filtri qazanı; hava filtri qutusu; hava filter qabi; hava filteri qabi; hava qabi; havaolcen qabi; hava filteri qazani; hava filtri qabi; hava filtri qazani; havaqabi; havaolcenqabi,22,Hava filtri qutusu (korpus); Корпус воздушного фильтра (airbox); hava filtri qutusu korpus; корпус воздушного фильтра airbox; airbox; korpus; hava filter korpusu; hava filter qabı; hava filteri qabı; hava qabı; havaölçən qabı; hava filteri qutusu; hava filteri qazanı; hava filteri qutusu korpus; hava filtri qabı; hava filtri qazanı; hava filtri qutusu; hava filter qabi; hava filteri qabi; hava qabi; havaolcen qabi; hava filteri qazani; hava filtri qabi; hava filtri qazani; havaqabi; havaolcenqabi,26,No,No,No,Yes,2026-07-21 14:10:44
MU-029,Двигатель в сборе/поршневая,engine-assembly,Yağ filtri korpusu (kitabça),Корпус масляного фильтра,kitabça; yağ kitabçası; yağ kitabçası korpusu; yağ kitabı; yağ filterinin korpusu; yağ filteri korpusu kitabça; yağ filtrinin korpusu; kitabca; yag kitabcasi; yag kitabcasi korpusu; yag kitabi; yag filterinin korpusu; yag filteri korpusu kitabca; yag filtrinin korpusu; yag filtri korpusu kitabca; yagkitabcasi; yagkitabi,17,Yağ filtri korpusu (kitabça); Корпус масляного фильтра; yağ filtri korpusu kitabça; kitabça; yağ kitabçası; yağ kitabçası korpusu; yağ kitabı; yağ filterinin korpusu; yağ filteri korpusu kitabça; yağ filtrinin korpusu; kitabca; yag kitabcasi; yag kitabcasi korpusu; yag kitabi; yag filterinin korpusu; yag filteri korpusu kitabca; yag filtrinin korpusu; yag filtri korpusu kitabca; yagkitabcasi; yagkitabi,20,No,No,No,Yes,2026-07-21 14:10:44
MU-074,Двигатель в сборе/поршневая,engine-assembly,Mühərrik qapağı (dekorativ),Крышка двигателя (декоративная),декоративная; dekorativ; mühərrik qapağı; mühərrik üst qapağı; üst mühərrik qapağı; mühərrik örtüyü qapağı; muherrik qapagi; muherrik ust qapagi; ust muherrik qapagi; muherrik ortuyu qapagi; muherrik qapagi dekorativ; muherrikqapagi,12,Mühərrik qapağı (dekorativ); Крышка двигателя (декоративная); mühərrik qapağı dekorativ; крышка двигателя декоративная; декоративная; dekorativ; mühərrik qapağı; mühərrik üst qapağı; üst mühərrik qapağı; mühərrik örtüyü qapağı; muherrik qapagi; muherrik ust qapagi; ust muherrik qapagi; muherrik ortuyu qapagi; muherrik qapagi dekorativ; muherrikqapagi,16,No,No,No,Yes,2026-07-21 14:10:44
MU-057,Двигатель в сборе/поршневая,engine-assembly,Yağ qapağı (maslozalivnaya qapaq),Крышка маслозаливной горловины,maslozalivnaya qapaq; mühərrik yağ qapağı; muherrik yag qapagi; yag qapagi maslozalivnaya qapaq; maslozalivnayaqapaq,5,Yağ qapağı (maslozalivnaya qapaq); Крышка маслозаливной горловины; yağ qapağı maslozalivnaya qapaq; maslozalivnaya qapaq; mühərrik yağ qapağı; muherrik yag qapagi; yag qapagi maslozalivnaya qapaq; maslozalivnayaqapaq,8,No,No,No,Yes,2026-07-21 14:10:44
MU-067,Двигатель в сборе/поршневая,engine-assembly,Yağ nasosu sorucu borusu (setka),Маслозаборная трубка с сеточкой,setka; yag nasosu sorucu borusu setka,2,Yağ nasosu sorucu borusu (setka); Маслозаборная трубка с сеточкой; yağ nasosu sorucu borusu setka; setka; yag nasosu sorucu borusu setka,5,No,No,No,Yes,2026-07-21 14:10:44
MU-066,Двигатель в сборе/поршневая,engine-assembly,Porşen soyutma forsunkası,Масляная форсунка охлаждения поршня,porsen soyutma forsunkasi,1,Porşen soyutma forsunkası; Масляная форсунка охлаждения поршня; porsen soyutma forsunkasi,3,No,No,No,Yes,2026-07-21 14:10:44
MU-027,Двигатель в сборе/поршневая,engine-assembly,Yağ nasosu,Масляный насос,yag nasosu; yagnasosu; масляныйнасос,3,Yağ nasosu; Масляный насос; yag nasosu; yagnasosu; масляныйнасос,5,No,No,No,Yes,2026-07-21 14:10:44
MU-084,Двигатель в сборе/поршневая,engine-assembly,VANOS-a gedən yağ şlanqı,Масляный шланг к VANOS,vanos a geden yag slanqi,1,VANOS-a gedən yağ şlanqı; Масляный шланг к VANOS; vanos a gedən yağ şlanqı; vanos a geden yag slanqi,4,No,No,No,Yes,2026-07-21 14:10:44
MU-056,Двигатель в сборе/поршневая,engine-assembly,Yağ çubuğu,Масляный щуп,yag cubugu; yagcubugu; масляныйщуп,3,Yağ çubuğu; Масляный щуп; yag cubugu; yagcubugu; масляныйщуп,5,No,No,No,Yes,2026-07-21 14:10:44
MU-089,Двигатель в сборе/поршневая,engine-assembly,Hava borusu (patrubok),Патрубок воздуховода,hava boru; hava borusu patrubok; hava filter borusu; hava xortumu; havaölçən borusu; havaolcen borusu; havaboru; havaxortumu; havaolcenborusu; патрубоквоздуховода,10,Hava borusu (patrubok); Патрубок воздуховода; hava boru; hava borusu patrubok; hava filter borusu; hava xortumu; havaölçən borusu; havaolcen borusu; havaboru; havaxortumu; havaolcenborusu; патрубоквоздуховода,12,No,No,No,Yes,2026-08-22 12:03:18
MU-076,Двигатель в сборе/поршневая,engine-assembly,Aypara şayba (şponka),Полулунная шпонка (шкива/коленвала),коленвала; шкива; шкива коленвала; şponka; sponka; aypara sayba sponka; шкиваколенвала,7,Aypara şayba (şponka); Полулунная шпонка (шкива/коленвала); aypara şayba şponka; полулунная шпонка шкива коленвала; коленвала; шкива; шкива коленвала; şponka; sponka; aypara sayba sponka; шкиваколенвала,11,No,No,No,Yes,2026-07-21 14:10:44
MU-004,Двигатель в сборе/поршневая,engine-assembly,Porşen,Поршень,mühərrik porşeni; muherrik porseni; porsen; muherrikporseni,4,Porşen; Поршень; mühərrik porşeni; muherrik porseni; porsen; muherrikporseni,6,No,No,No,Yes,2026-07-21 14:10:44
